Site;Artif;Bare;BroadLV;NeedlLV;Plowed;MGramin;NOpen;WOpen;COpen;Water
Abbaye de Saint-Denis;9.119;0.045;57.664;3.304;4.268;14.566;0;0;2.366;8.672
Aérodrome de Maubray;1.134;3.281;31.91;0.125;6.286;37.256;0;0;19.694;0.318
Ancien moulin;7.434;0.131;22.075;3.165;3.96;56.964;0.467;0;5.305;0.495
Ancienne Gare;22.643;12.519;10.514;0.826;24.807;27.061;0;0;1.574;0.064
Arsenal IDEA;41.683;0.045;34.881;1.637;1.228;14.923;0;0;4.972;0.635
B6 (UMONS);45.81;0.667;12.896;0.921;0;36.151;0;0;3.4;0.166
Beaulieu;2.902;4.996;79.892;1.46;0.306;6.201;0.107;0;4.106;0.035
Beffroi;71.254;0.243;12.031;0.199;0;11.523;0;0;2.524;2.224
Bois de Bon-Secours;1.309;0.018;80.99;0.602;0;0.214;0;0;16.885;0
Bois de Wadelincourt;11.098;1.042;40.294;1.297;3.795;34.126;0;0;8.039;0.318
Bois d'Havré;0.88;0;95.169;1.084;0;0.02;0;0;2.832;0
Bruyère Site 1;2.802;0.064;71.993;1.101;0;9.781;0;0;13.228;1.022
Bruyère Site 2;6.479;0.424;71.542;0.964;0;4.377;0;0;15.659;0.534
Bruyère Site 3;7.887;0.246;65.657;1.089;0;7.373;0;0;17.672;0.049
Bruyère Site 4;6.992;0.326;72.878;1.096;0;7.915;0;0;10.106;0.668
Bruyère Site 5;10.97;0.303;64.786;1.332;0;16.39;0;0;5.464;0.747
Camp-à-cayaux;1.507;14.606;2.349;0.022;66.48;13.284;0.648;0;0.919;0.194
Carrière Omya;12.6;37.223;20.265;0.347;1.095;19.349;5.714;0;1.927;1.493
Cascade d'Hyon;15.236;0.104;26.973;1.968;0.711;46.24;2.766;0;4.095;1.908
Château d'Havré;16.567;9.021;17.193;0.625;0;44.458;0;0;2.805;9.33
Chemin de Jérusalem;7.65;0;13.466;0.129;57.277;9.458;0;0;1.789;10.224
Chemin de Roucourt;1.6;0;1.031;0.131;90.099;6.826;0;0;0.331;0.016
Chemin du Trainage;6.965;0.004;17.28;0.188;2.122;39.199;8.856;0.076;5.83;19.526
Cimetière de Nimy;25.359;0.109;7.428;1.743;36.342;26.592;0.054;0;2.365;0.02
Cimetière de Spiennes;3.95;0.023;6.607;0.202;41.081;46.228;0.037;0;1.849;0.016
Cimetière d'Havré;19.632;0.198;14.37;0.592;9.965;53.897;0;0;1.366;0.01
Culture  de bouleaux;2.705;0.281;6.563;0.527;36.554;27.144;0;0;26.1;0.125
Eglise Saint Martin d'Harveng;21.074;0.129;18.512;1.211;13.199;41.194;0;0;3.869;0.824
Epargne (UMONS);52.301;0.878;13.599;0.509;0;26.581;0;0;5.671;0.479
Epinlieu (IDEA);7.386;0.136;10.016;0.702;8.888;70.66;0;0;1.989;0.224
