Tax_code	A	B	C	D	E	F	G	H	I	J	K	L	M	N
Afr_pusi	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Agl_trid	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Ame_albi	0	0	4	1	1	2	5	2	1	0	0	0	0	0
Ame_albi_af	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Ame_dali	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Ame_quad	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Ame_savi	0	0	0	1	0	0	2	1	0	0	0	0	0	0
And_abru	0	0	0	0	0	0	1	0	0	0	0	0	0	0
And_alfk	0	0	0	0	0	0	0	1	0	0	0	0	0	0
And_anat	0	0	0	0	0	0	0	0	2	5	0	0	0	0
And_bico	0	0	1	0	0	0	0	0	0	0	0	0	0	0
And_byti	0	0	0	0	1	0	0	0	0	0	0	0	0	0
And_cedr	0	0	0	0	0	2	0	0	0	0	0	0	0	0
And_chri	0	0	0	0	0	0	0	0	0	3	0	0	0	0
And_elma	2	0	0	0	0	0	1	0	0	0	0	0	0	0
And_exqu	2	0	0	0	1	0	1	0	0	0	0	0	0	0
And_flav	0	0	0	1	0	0	1	0	1	0	0	0	0	0
And_frei	0	0	0	0	0	0	0	0	1	0	0	0	0	0
And_fulv	0	0	0	0	0	0	0	0	1	0	0	0	0	0
And_hesp	0	0	0	0	1	0	0	0	0	0	0	0	0	0
And_hova	0	0	0	0	1	0	0	0	3	0	11	0	0	0
And_humi	0	0	0	0	3	0	0	0	2	0	0	0	0	0
And_isab	0	0	0	2	0	0	0	0	0	0	0	0	0	0
And_labi	0	0	1	2	0	0	1	0	0	0	0	0	0	0
And_lind	0	0	0	0	0	0	0	0	0	1	0	0	0	0
And_mede	0	0	0	0	0	0	1	2	0	0	0	0	0	0
And_minu	0	0	1	0	0	0	0	0	0	0	0	0	0	0
And_nigr	0	0	2	0	0	0	0	1	0	0	0	0	0	0
And_opta	0	1	0	0	0	0	0	0	0	0	0	0	0	0
And_ovat	0	0	0	0	0	0	0	0	0	0	0	0	1	0
And_rugo	3	0	0	0	0	0	0	0	0	0	0	0	0	0
And_simi	0	1	0	0	0	0	0	0	0	3	0	0	0	0
And_sphe	0	0	0	0	0	0	0	1	0	0	0	0	0	0
And_tiar	1	0	0	0	0	0	0	0	0	0	0	0	0	0
And_trin	1	0	0	0	0	4	2	1	0	10	0	0	0	0
And_unic	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ant_stri	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Ant_chri	0	0	1	0	0	3	0	0	0	1	1	0	0	0
Ant_loti	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Ant_mani	0	7	8	0	2	13	1	3	2	0	0	0	0	0
Ant_undu	0	1	1	0	0	1	0	1	0	0	0	0	0	0
Ant_aest	0	0	6	0	0	0	0	4	10	0	2	0	0	0
Ant_affi	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Ant_anne	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Ant_cane	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ant_dalm	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Ant_dasy	0	0	0	0	0	0	0	0	0	0	0	1	2	0
Ant_disp	0	3	1	0	0	0	0	0	0	0	0	0	0	0
Ant_mich	0	0	0	0	0	3	1	0	0	3	0	0	0	0
Ant_mira	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Ant_muci	0	2	0	0	2	0	0	0	2	0	0	0	0	0
Ant_neme	0	1	2	0	0	0	0	0	4	1	0	0	0	0
Ant_nigr	0	1	11	7	2	7	8	5	2	0	0	0	0	0
Ant_orie	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ant_peda	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Ant_plum	0	5	13	0	1	1	1	0	2	1	0	0	0	0
Ant_robu	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Ant_roge	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Ant_sage	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Bom_argi	0	0	3	0	0	0	2	12	1	0	6	5	0	0
Bom_mela	0	0	0	0	0	0	0	0	0	0	9	26	9	0
Bom_nive	0	0	0	0	0	0	0	0	6	2	43	54	75	7
Bom_terr	0	0	16	1	1	1	6	20	23	2	0	7	2	0
Cer_acut	0	0	3	0	3	0	0	1	0	3	0	0	0	0
Cer_bisp	0	11	0	0	0	0	0	0	0	0	0	0	0	0
