Code_site	Wooded	Altitude	Alti_Category	Y	X	XY
A	0	900	1	34.21435928	35.87466812	1227.428784
B	0	1187	1	34.20967102	35.90036011	1228.139509
C	1	1519	1	34.21332932	35.92533112	1229.125185
D	1	1639	2	34.21810913	35.93807983	1229.733138
E	0	1662	2	34.18936157	35.91593933	1227.943036
F	0	1765	2	34.19338989	35.92391968	1228.360592
G	1	1739	2	34.20786285	35.9327507	1229.182608
H	1	1766	2	34.20650101	35.93222046	1229.115535
I	1	1883	2	34.24455643	36.04538727	1234.358298
J	1	1933	2	34.2408905	36.05402756	1234.52201
K	0	2345	3	34.22578049	36.06077957	1234.208326
L	0	2585	3	34.21108246	36.05944443	1233.632627
M	0	2882	3	34.24689102	36.09043884	1235.985326
N	0	2911	3	34.29227829	36.11643982	1238.515005
