Species;ITD;STI;SCI;Nest_active_construction;Nest_position;Nesting_material;Nest_area;Nesting_old;Statut_IUCN_Belgium;Endangered;N_months_active;Voltinism;Mean_flying_month;Flying_period;Sociality_old;Parasite;Sociality;Lectism;Main_host
Ammobates punctatus;1.87;10.15;6.89;No;Underground;Any;Soil;Underground;CR;Yes;3;Univoltine;7;Summer;Cleptoparasite;Yes;Solitary;Polylectic;
Andrena albofasciata;2.24;NA;NA;Yes;Underground;Any;Soil;Underground;DD;NA;3;Bivoltine;6;Summer;Solitary;No;Solitary;Polylectic;Fabaceae
Andrena angustior;1.88;10.15;4.87;Yes;Underground;Any;Soil;Underground;NT;Almost;2;Univoltine;5;Spring-Summer;Solitary;No;Solitary;Polylectic;
Andrena barbilabris;2.34;10.15;6.29;Yes;Underground;Any;Soil;Underground;LC;No;5;Univoltine;6;Spring-Summer;Solitary;No;Solitary;Polylectic;
Andrena bicolor;2.10;8.02;5.69;Yes;Underground;Any;Soil;Underground;LC;No;5;Bivoltine;6;Spring-Summer;Solitary;No;Solitary;Polylectic;
Andrena carantonica;2.72;7.47;6.56;Yes;Underground;Any;Soil;Underground;LC;No;3;Univoltine;5;Spring;Solitary;No;Solitary;Polylectic;
Andrena chrysosceles;1.97;9.42;5.20;Yes;Underground;Any;Soil;Underground;LC;No;3;Univoltine;5;Spring;Solitary;No;Solitary;Polylectic;
Andrena cineraria;2.76;7.94;5.83;Yes;Underground;Any;Soil;Underground;LC;No;3;Univoltine;5;Spring-Summer;Solitary;No;Solitary;Polylectic;
Andrena dorsata;2.03;9.66;5.28;Yes;Underground;Any;Soil;Underground;LC;No;6;Bivoltine;7;Spring-Summer;Solitary;No;Solitary;Polylectic;
Andrena flavipes;2.36;9.71;5.73;Yes;Underground;Any;Soil;Underground;LC;No;6;Bivoltine;7;Spring-Summer;Solitary;No;Solitary;Polylectic;
Andrena florea;2.43;10.26;6.14;Yes;Underground;Any;Soil;Underground;LC;No;3;Univoltine;7;Spring-Summer;Solitary;No;Solitary;Oligolectic;Cucurbitaceae
Andrena fulva;2.78;8.68;5.82;Yes;Underground;Any;Soil;Underground;LC;No;3;Univoltine;5;Spring;Solitary;No;Solitary;Polylectic;
