Official name;Synonym 1;Synonym 2;Habitat;Centroid lat;Centroid long;Number_category
Abbaye de Saint-Denis;;;Parc;50.494;4.0204;2
Aérodrome de Maubray;;;Carrière;50.5301;3.4918;1
Ancien moulin;;;Prairie;50.4214;3.9859;3
Ancienne Gare;;;Rudéral;50.4118;4.0187;4
Arsenal IDEA;Arsenal de Cuesmes (IDEA);;Rudéral;50.442;3.9377;4
B6 (UMONS);Chaville 4 UMons;;Parc;50.4646;3.9555;2
Beaulieu;Bois de Beaulieu;;Rudéral;50.4498;4.0607;4
Beffroi;Parc du Beffroi;;Parc;50.4544;3.9493;2
Bois de Bon-Secours;;;Rudéral;50.4967;3.6162;4
Bois de Wadelincourt;;;Prairie;50.531;3.6422;3
Bois d'Havré;;;Rudéral;50.4563;4.0124;4
Bruyère Site 1;;;Carrière;50.49164;3.67119;1
Bruyère Site 2;;;Carrière;50.49289;3.67194;1
Bruyère Site 3;;;Carrière;50.49272;3.67358;1
Bruyère Site 4;;;Carrière;50.49258;3.66886;1
Bruyère Site 5;;;Carrière;50.49194;3.66717;1
Camp-à-cayaux;;;Carrière;50.4162;3.9987;1
Carrière Omya;carrière omya/ le Caufour;;Carrière;50.4134;4.0058;1
Cascade d'Hyon;;;Parc;50.4378;3.967;2
Château d'Havré;Chateau d'Havré;;Parc;50.4645;4.0392;2
Chemin de Jérusalem;;;Rudéral;50.5289;3.5108;4
Chemin de Roucourt;;;Rudéral;50.523;3.6099;4
Chemin du Trainage;;;Rudéral;50.4486;3.6805;4
Cimetière de Nimy;;;Parc;50.4748;3.9644;2
Cimetière de Spiennes;Spiennes cimetière;;Prairie;50.4237;3.9818;3
Cimetière d'Havré;;;Parc;50.4549;4.0447;2
Culture de bouleaux;;;Rudéral;50.44297028;4.136360168;4
Eglise Saint Martin d'Harveng;;;Parc;50.3954;3.9872;2
Epargne (UMONS);Epargne - UMons;Epargne UMons;Parc;50.4463;3.9568;2
Epinlieu (IDEA);Epinlieu-IDEA;;Parc;50.4531;3.9914;2
Friche des Vignobles;;;Carrière;50.5871;3.4385;1
Gare;;;Rudéral;50.4276;3.9455;4
Géothermia (IDEA);Géothermia - IDEA;Géothermia IDEA;Rudéral;50.4616;3.9146;4
Grand Large;;;Prairie;50.4746;3.9365;3
Jardin suspendu;;;Parc;50.4468;3.9501;2
Jardins du Hainaut;;;Parc;50.44777778;3.983611111;2
La Haine;;;Rudéral;50.4597;3.9454;4
La Trouille;;;Rudéral;50.4055;4.0133;4
Les Burettes (Natagora);;;Prairie;50.4981;3.8857;3
Les Etangs;;;Parc;50.4573;4.1125;2
