PROJECT.CODE;SPEC_ID;SPEC.COND_ID;SPEC.ORD;SPEC.TAX;SPEC.TAXPRIO;SPEC.GR1;SPEC.GR2;SPEC.GEN;SPEC.SP;SPEC.CLAS;SEX;DEVL;N;UNIT;ABOND;ABONDUNIT;SOCIAB;DET;REC;AUCT;SRC;COLL;CONF;REFBIB;VALIDATION;SPEC.USERA1;SPEC.USERA2;SPEC.USERA3;SPEC.USERA4;SPEC.USERA5;SPEC.USERA6;SPEC.USERA7;SPEC.USERN1;SPEC.USERN2;SPEC.USERN3;SPEC.USERN4;SPEC.USERN5;SPEC.USERN6;SPEC.USERN7;Data_Source;Data_Status;Date_Encodage;Date_Modification;SPEC_ID_ORIG;spec_lati;spec_long;spec_memo;last_Validator;date_validation;COND.COND_ID;COND.STAT_ID;COND.ORD;DAT1;DAT2;CAPT;CAPN;CPI;MICR;COND.TAX;COND.TAXPRIO;COND.GR1;COND.GR2;COND.GEN;COND.SP;COND.CLAS;ECHA;APPA;COND.USERA1;COND.USERA2;COND.USERA3;COND.USERA4;COND.USERA5;COND.USERA6;COND.USERA7;COND.USERN1;COND.USERN2;COND.USERN3;COND.USERN4;COND.USERN5;COND.USERN6;COND.USERN7;cond_memo;date_embargo;STAT.STAT_ID;REF_GEOG;STAT.ORD;COORD_CONV;PROJECT_ID;STAT.CODE;CADA;SGIB;TOPO;LOCA;FIPS;DESI;ORIG;DATUM;UTM;LATI;LONG;UGRI;X;Y;PREC;CODEGEO;ALTI;HAB1;HAB2;EXPO;REF;STAT.USERA1;STAT.USERA2;STAT.USERA3;STAT.USERA4;STAT.USERA5;STAT.USERA6;STAT.USERA7;STAT.USERN1;STAT.USERN2;STAT.USERN3;STAT.USERN4;STAT.USERN5;STAT.USERN6;STAT.USERN7;stat_memo
DEFAUT;1;1;;Andrena flavipes;Andrena flavipes;HYMENOPTERA;ANDRENIDAE;Andrena;flavipes;;F;;1;;;;;Wood T;Reese A;;2;;2;;;;;;;;;;;;;;;;;BDGFM_Mons;0;11-04-21;11-04-21;;;;;;;1;1;;;20200801;Filet;;;AV;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;ARM001;;;Rue Jean Winance;Warchin;BE03;;deg +50.60629 +3.42958;WGS84;31UES3049106342;50.60628891;3.429579973;;;;;;21;;;;;;;;;;;;;;;;;;;
DEFAUT;2;2;;Colletes hederae;Colletes hederae;HYMENOPTERA;COLLETIDAE;Colletes;hederae;;F;;1;;;;;Wood T;Reese A;;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;11-04-21;11-04-21;;;;;;;2;6;;;20200905;Filet;;;AV;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;FALSE;1;ARM006;;;Aérodrome de Maubray;Péruwelz;BE03;;deg +50.529 +3.492;WGS84;31UER3496597775;50.52899933;3.492000103;;;;;;51;;;;;;;;;;;;;;;;;;;
DEFAUT;6;2;;Colletes hederae;Colletes hederae;HYMENOPTERA;COLLETIDAE;Colletes;hederae;;M;;12;;;;;Wood T;Reese A;;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;11-04-21;11-04-21;;;;;;;2;6;;;20200905;Filet;;;AV;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;FALSE;1;ARM006;;;Aérodrome de Maubray;Péruwelz;BE03;;deg +50.529 +3.492;WGS84;31UER3496597775;50.52899933;3.492000103;;;;;;51;;;;;;;;;;;;;;;;;;;
DEFAUT;3;3;;Colletes hederae;Colletes hederae;HYMENOPTERA;COLLETIDAE;Colletes;hederae;;M;;1;;;;;Wood T;Reese A;;2;;2;;;;;;;;;;;;;;;;;BDFM_Mons;0;11-04-21;11-04-21;;;;;;;3;6;;;20200905;Filet;;;Fleur;Calluna vulgaris;Calluna vulgaris;DICOTYLEDONE;ERICACEAE;Calluna;vulgaris;;;;;;;;;;;;;;;;;;;;6;;;FALSE;1;ARM006;;;Aérodrome de Maubray;Péruwelz;BE03;;deg +50.529 +3.492;WGS84;31UER3496597775;50.52899933;3.492000103;;;;;;51;;;;;;;;;;;;;;;;;;;
DEFAUT;7;3;;Colletes hederae;Colletes hederae;HYMENOPTERA;COLLETIDAE;Colletes;hederae;;M;;9;;;;;Wood T;Reese A;;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;11-04-21;11-04-21;;;;;;;3;6;;;20200905;Filet;;;Fleur;Calluna vulgaris;Calluna vulgaris;DICOTYLEDONE;ERICACEAE;Calluna;vulgaris;;;;;;;;;;;;;;;;;;;;6;;;FALSE;1;ARM006;;;Aérodrome de Maubray;Péruwelz;BE03;;deg +50.529 +3.492;WGS84;31UER3496597775;50.52899933;3.492000103;;;;;;51;;;;;;;;;;;;;;;;;;;
DEFAUT;4;4;;Colletes hederae;Colletes hederae;HYMENOPTERA;COLLETIDAE;Colletes;hederae;;M;;1;;;;;Wood T;Reese A;;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;11-04-21;11-04-21;;;;;;;4;15;;;20200905;Filet;;;Fleur;Reseda lutea;Reseda lutea;DICOTYLEDONE;RESEDACEAE;Reseda;lutea;;;;;;;;;;;;;;;;;;;;15;;;FALSE;1;ARM016;;;Rue du Castillon;Quaregnon;BE03;;deg +50.43187 +3.87187;WGS84;31UER6201687222;50.43186951;3.871870041;;;;;;43;;;;;;;;;;;;;;;;;;;=Rue Emile Vandervelde dans les étiquettes !
DEFAUT;5;5;;Colletes hederae;Colletes hederae;HYMENOPTERA;COLLETIDAE;Colletes;hederae;;M;;11;;;;;Wood T;Reese A;;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;11-04-21;11-04-21;;;;;;;5;19;;;20200906;Filet;;;Fleur;Reseda lutea;Reseda lutea;DICOTYLEDONE;RESEDACEAE;Reseda;lutea;;;;;;;;;;;;;;;;;;;;19;;;FALSE;1;ARM020;;;Marais de Douvrain Ouest;Saint-Ghislain;BE03;;deg +50.46154 +3.84135;WGS84;31UER5981190496;50.46154022;3.841350079;;;;;;17;;;;;;;;;;;;;;;;;;;
DEFAUT;8;6;;Colletes hederae;Colletes hederae;HYMENOPTERA;COLLETIDAE;Colletes;hederae;;M;;1;;;;;Wood T;Reese A;;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;11-04-21;11-04-21;;;;;;;6;16;;;20200819;Filet;;;Fleur;Melilotus albus;Melilotus alba;DICOTYLEDONE;LEGUMINOSAE;Melilotus;alba;;;;;;;;;;;;;;;;;;;;16;;;FALSE;1;ARM017;;;Ravel98;Mons;BE03;;deg +50.4306 +3.88996;WGS84;31UER6330387096;50.43059921;3.889960051;;;;;;56;;;;;;;;;;;;;;;;;;;
DEFAUT;9;7;;Colletes daviesanus;Colletes daviesanus;HYMENOPTERA;COLLETIDAE;Colletes;daviesanus;;F;;3;;;;;Wood T;Reese A;;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;11-04-21;12-04-21;;;;;;;7;10;;;20200805;Filet;;;Fleur;Tanacetum vulgare;Tanacetum vulgare;DICOTYLEDONE;COMPOSITAE;Tanacetum;vulgare;;;;;;;;;;;;;;;;;;;;10;;;FALSE;1;ARM010;;;Pré à Parchon;Beloeil;BE03;;deg +50.5195 +3.63382;WGS84;31UER4502696795;50.51950073;3.633820057;;;;;;37;;;;;;;;;;;;;;;;;;;
DEFAUT;24;7;;Colletes similis;Colletes similis;HYMENOPTERA;COLLETIDAE;Colletes;similis;;F;;1;;;;;Wood T;Reese A;;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;11-04-21;11-04-21;;;;;;;7;10;;;20200805;Filet;;;Fleur;Tanacetum vulgare;Tanacetum vulgare;DICOTYLEDONE;COMPOSITAE;Tanacetum;vulgare;;;;;;;;;;;;;;;;;;;;10;;;FALSE;1;ARM010;;;Pré à Parchon;Beloeil;BE03;;deg +50.5195 +3.63382;WGS84;31UER4502696795;50.51950073;3.633820057;;;;;;37;;;;;;;;;;;;;;;;;;;
