ID;Date;tout_ID;PROJECTCODE;SPEC_ID;SPECCOND_ID;SPECORD;SPECGR1;SPECGR2;SPECTAX;SPECTAXPRIO;SPECCLAS;SPECGEN;SPECSP;SEX;DEVL;ABOND;ABONDUNIT;N;UNIT;SOCIAB;DET;REC;AUCT;SRC;COLL;CONF;REFBIB;VALIDATION;SPECUSERA1;SPECUSERA2;SPECUSERA3;SPECUSERA4;SPECUSERA5;SPECUSERA6;SPECUSERA7;SPECUSERN1;SPECUSERN2;SPECUSERN3;Data_Source;SPECUSERN4;SPECUSERN5;Data_Status;SPECUSERN6;SPECUSERN7;Date_Encodage;Date_Modification;last_Validator;SPEC_ID_ORIG;spec_lati;date_validation;spec_long;spec_memo;CONDCOND_ID;CONDSTAT_ID;CONDORD;CAPT;CAPN;DAT1;DAT2;CONDTAX;CONDTAXPRIO;CPI;MICR;CONDGEN;CONDGR1;CONDGR2;CONDSP;CONDCLAS;ECHA;APPA;CONDUSERA1;CONDUSERA2;CONDUSERA3;CONDUSERA4;CONDUSERA5;CONDUSERA6;CONDUSERA7;CONDUSERN1;CONDUSERN2;CONDUSERN3;cond_memo;CONDUSERN4;CONDUSERN5;CONDUSERN6;CONDUSERN7;date_embargo;STATSTAT_ID;REF_GEOG;STATORD;COORD_CONV;CADA;LOCA;PROJECT_ID;STATCODE;FIPS;SGIB;TOPO;DATUM;DESI;ORIG;UTM;LATI;LONG;UGRI;PREC;CODEGEO;X;Y;ALTI;EXPO;HAB1;HAB2;REF;STATUSERA1;STATUSERA2;STATUSERA3;STATUSERA4;STATUSERA5;STATUSERA6;STATUSERA7;STATUSERN1;STATUSERN2;STATUSERN3;stat_memo;STATUSERN4;STATUSERN5;listeplante_Nom_latin;STATUSERN6;STATUSERN7;Début;Famille;Nom vulgaire;Fin;Indigène;Mellifère;Milieu 1;espece;Milieu 2;trait_phénott_ID;ITD;STI (T° index);SCI (continentality index);Field5;Lectisme;Nesting;Field12;Overwintering location;seasons;Field13;Sociality;Statut_IUCN;Field14;Field15;Field16;Field17;Field18;Field19;Field20;Field21;Field22;Field23;Field24;Field25;Field26;Field27;Station_ID;altitude;latitude;longitude;Localité;Statut;Protection;nom;milieu
1;27/07/2020;50;DEFAUT;1115;504;;HYMENOPTERA;COLLETIDAE;Colletes daviesanus;Colletes daviesanus;;Colletes;daviesanus;M;;;;10;;;WOOD T.;RUELLE E.;WOOD T.;2;;2;;;;;;;;;;;;;BDFGM_Mons;;;0;;;13/04/2021;13/04/2021;;;;;;;504;1;;Filet;;;20200727;Tanacetum vulgare;Tanacetum vulgare;;Fleur;Tanacetum;DICOTYLEDONE;COMPOSITAE;vulgare;;;;;;;;;;;;;;;;;;;;1;;;FALSE;;Mons;1;ERM01;BE03;;Village des abeilles - UMons;WGS84;;deg +50.46275 +3.95524;31UER6789390729;50,46274948;3,955240011;;;;;;36;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare";;;Tanacetum vulgare;;;Juillet;ASTERACEAE;Tanaisie;Octobre;TRUE;TRUE;Sec;Colletes daviesanus;;49;2,46;6,6475;6,9239;;Oligolectic;Underground;;Under ground;Summer;;Solitary;LC;;;;;;;;;;;;;;;1;36;50.46275;3.95524;Mons;/;FALSE;Village des abeilles - Umons;Semi-naturel
2;27/07/2020;51;DEFAUT;1106;504;;HYMENOPTERA;COLLETIDAE;Colletes daviesanus;Colletes daviesanus;;Colletes;daviesanus;F;;;;2;;;WOOD T.;RUELLE E.;WOOD T.;2;;2;;;;;;;;;;;;;BDFGM_Mons;;;0;;;13/04/2021;13/04/2021;;;;;;;504;1;;Filet;;;20200727;Tanacetum vulgare;Tanacetum vulgare;;Fleur;Tanacetum;DICOTYLEDONE;COMPOSITAE;vulgare;;;;;;;;;;;;;;;;;;;;1;;;FALSE;;Mons;1;ERM01;BE03;;Village des abeilles - UMons;WGS84;;deg +50.46275 +3.95524;31UER6789390729;50,46274948;3,955240011;;;;;;36;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare";;;Tanacetum vulgare;;;Juillet;ASTERACEAE;Tanaisie;Octobre;TRUE;TRUE;Sec;Colletes daviesanus;;49;2,46;6,6475;6,9239;;Oligolectic;Underground;;Under ground;Summer;;Solitary;LC;;;;;;;;;;;;;;;1;36;50.46275;3.95524;Mons;/;FALSE;Village des abeilles - Umons;Semi-naturel
3;27/07/2020;52;DEFAUT;199;142;;HYMENOPTERA;MEGACHILIDAE;Hoplitis adunca;Hoplitis adunca;;Hoplitis;adunca;F;;;;2;;;WOOD T.;RUELLE E.;WOOD T.;2;;2;;;;;;;;;;;;;BDFGM_Mons;;;0;;;01/12/2020;01/12/2020;;;;;;;142;1;;Filet;;;20200727;;;;Vol;;;;;;;;;;;;;;;;;;;;;;;;1;;;FALSE;;Mons;1;ERM01;BE03;;Village des abeilles - UMons;WGS84;;deg +50.46275 +3.95524;31UER6789390729;50,46274948;3,955240011;;;;;;36;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare";;;;;;;;;;FALSE;FALSE;;Hoplitis adunca;;63;2,67;6,923;7,0676;;Oligolectic;Above;;Above ground;Summer;;Solitary;LC;;;;;;;;;;;;;;;1;36;50.46275;3.95524;Mons;/;FALSE;Village des abeilles - Umons;Semi-naturel
4;27/07/2020;53;DEFAUT;1020;142;;HYMENOPTERA;MEGACHILIDAE;Stelis breviuscula;Stelis breviuscula;;Stelis;breviuscula;F;;;;2;;;WOOD T.;RUELLE E.;WOOD T.;2;;2;;;;;;;;;;;;;BDFGM_Mons;;;0;;;12/04/2021;12/04/2021;;;;;;;142;1;;Filet;;;20200727;;;;Vol;;;;;;;;;;;;;;;;;;;;;;;;1;;;FALSE;;Mons;1;ERM01;BE03;;Village des abeilles - UMons;WGS84;;deg +50.46275 +3.95524;31UER6789390729;50,46274948;3,955240011;;;;;;36;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare";;;;;;;;;;FALSE;FALSE;;Stelis breviuscula;;178;1,5;7,0399;7,1008;;Polylectic;Renter:Existingcavitiesaboveground;;Above ground;Summer;;Cleptoparasite;LC;;;;;;;;;;;;;;;1;36;50.46275;3.95524;Mons;/;FALSE;Village des abeilles - Umons;Semi-naturel
5;27/07/2020;54;DEFAUT;1079;142;;HYMENOPTERA;MEGACHILIDAE;Heriades truncorum;Heriades truncorum;;Heriades;truncorum;F;;;;8;;;WOOD T.;RUELLE E.;WOOD T.;2;;2;;;;;;;;;;;;;BDFGM_Mons;;;0;;;13/04/2021;13/04/2021;;;;;;;142;1;;Filet;;;20200727;;;;Vol;;;;;;;;;;;;;;;;;;;;;;;;1;;;FALSE;;Mons;1;ERM01;BE03;;Village des abeilles - UMons;WGS84;;deg +50.46275 +3.95524;31UER6789390729;50,46274948;3,955240011;;;;;;36;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare";;;;;;;;;;FALSE;FALSE;;Heriades truncorum;;62;1,51;7,6221;6,5062;;Oligolectic;Above;;Above ground;Spring:Summer;;Solitary;LC;;;;;;;;;;;;;;;1;36;50.46275;3.95524;Mons;/;FALSE;Village des abeilles - Umons;Semi-naturel
6;27/07/2020;55;DEFAUT;1138;142;;HYMENOPTERA;HALICTIDAE;Halictus scabiosae;Halictus scabiosae;;Halictus;scabiosae;M;;;;1;;;WOOD T.;RUELLE E.;WOOD T.;2;;2;;;;;;;;;;;;;BDFGM_Mons;;;0;;;13/04/2021;13/04/2021;;;;;;;142;1;;Filet;;;20200727;;;;Vol;;;;;;;;;;;;;;;;;;;;;;;;1;;;FALSE;;Mons;1;ERM01;BE03;;Village des abeilles - UMons;WGS84;;deg +50.46275 +3.95524;31UER6789390729;50,46274948;3,955240011;;;;;;36;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare";;;;;;;;;;FALSE;FALSE;;Halictus scabiosae;;60;2,44;10,5749;6,1899;;Polylectic;Underground;;;Spring:Summer;;Primitivelyeusocial;LC;;;;;;;;;;;;;;;1;36;50.46275;3.95524;Mons;/;FALSE;Village des abeilles - Umons;Semi-naturel
7;27/07/2020;48;DEFAUT;1591;504;;HYMENOPTERA;MELITTIDAE;Dasypoda hirtipes;Dasypoda hirtipes;;Dasypoda;hirtipes;M;;;;1;;;WOOD T.;RUELLE E.;WOOD T.;2;;2;;;;;;;;;;;;;BDFGM_Mons;;;0;;;18/04/2021;18/04/2021;;;;;;;504;1;;Filet;;;20200727;Tanacetum vulgare;Tanacetum vulgare;;Fleur;Tanacetum;DICOTYLEDONE;COMPOSITAE;vulgare;;;;;;;;;;;;;;;;;;;;1;;;FALSE;;Mons;1;ERM01;BE03;;Village des abeilles - UMons;WGS84;;deg +50.46275 +3.95524;31UER6789390729;50,46274948;3,955240011;;;;;;36;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare";;;Tanacetum vulgare;;;Juillet;ASTERACEAE;Tanaisie;Octobre;TRUE;TRUE;Sec;Dasypoda hirtipes;;53;3,36;7,372;6,7427;;Oligolectic;Underground;;Under ground;Summer;;Solitary;LC;;;;;;;;;;;;;;;1;36;50.46275;3.95524;Mons;/;FALSE;Village des abeilles - Umons;Semi-naturel
8;27/07/2020;49;DEFAUT;1081;504;;HYMENOPTERA;MEGACHILIDAE;Heriades truncorum;Heriades truncorum;;Heriades;truncorum;F;;;;1;;;WOOD T.;RUELLE E.;WOOD T.;2;;2;;;;;;;;;;;;;BDFGM_Mons;;;0;;;13/04/2021;13/04/2021;;;;;;;504;1;;Filet;;;20200727;Tanacetum vulgare;Tanacetum vulgare;;Fleur;Tanacetum;DICOTYLEDONE;COMPOSITAE;vulgare;;;;;;;;;;;;;;;;;;;;1;;;FALSE;;Mons;1;ERM01;BE03;;Village des abeilles - UMons;WGS84;;deg +50.46275 +3.95524;31UER6789390729;50,46274948;3,955240011;;;;;;36;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare";;;Tanacetum vulgare;;;Juillet;ASTERACEAE;Tanaisie;Octobre;TRUE;TRUE;Sec;Heriades truncorum;;62;1,51;7,6221;6,5062;;Oligolectic;Above;;Above ground;Spring:Summer;;Solitary;LC;;;;;;;;;;;;;;;1;36;50.46275;3.95524;Mons;/;FALSE;Village des abeilles - Umons;Semi-naturel
9;25/05/2020;88;DEFAUT;1049;106;;HYMENOPTERA;MEGACHILIDAE;Megachile willughbiella;Megachile willughbiella;;Megachile;willughbiella;M;;;;1;;;WOOD T.;RUELLE E.;WOOD T.;2;;2;;;;;;;;;;;;;BDFGM_Mons;;;0;;;12/04/2021;12/04/2021;;;;;;;106;1;;Filet;;;20200525;Echium vulgare;Echium vulgare;;Fleur;Echium;DICOTYLEDONE;BORAGINACEAE;vulgare;;;;;;;;;;;;;;;;;;;;1;;;FALSE;;Mons;1;ERM01;BE03;;Village des abeilles - UMons;WGS84;;deg +50.46275 +3.95524;31UER6789390729;50,46274948;3,955240011;;;;;;36;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare";;;Echium vulgare;;;Juin;BORAGINACEAE;Vipérine;Juillet;TRUE;TRUE;Calcaire;Megachile willughbiella;;127;3,59;7,2891;6,3157;;Polylectic b;Mix;;Above ground;Summer;;Solitary;LC;;;;;;;;;;;;;;;1;36;50.46275;3.95524;Mons;/;FALSE;Village des abeilles - Umons;Semi-naturel
10;25/05/2020;89;DEFAUT;1478;106;;HYMENOPTERA;APIDAE;Bombus (Bombus)  sp.;Bombus (Bombus)  sp.;;Bombus;(Bombus);W;;;;2;;;FIORDALISO W.;RUELLE E.;FIORDALISO W.;2;;2;;;;;;;;;;;;;BDFGM_Mons;;;0;;;14/04/2021;14/04/2021;;;;;;;106;1;;Filet;;;20200525;Echium vulgare;Echium vulgare;;Fleur;Echium;DICOTYLEDONE;BORAGINACEAE;vulgare;;;;;;;;;;;;;;;;;;;;1;;;FALSE;;Mons;1;ERM01;BE03;;Village des abeilles - UMons;WGS84;;deg +50.46275 +3.95524;31UER6789390729;50,46274948;3,955240011;;;;;;36;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare";;;Echium vulgare;;;Juin;BORAGINACEAE;Vipérine;Juillet;TRUE;TRUE;Calcaire;Bombus (Bombus)  sp.;;181;6,15;8,6161;5,9154;;Polylectic;Mix;;Under ground;Spring:Autumn;;Primitivelyeusocial;LC;;;;;;;;;;;;;;;1;36;50.46275;3.95524;Mons;/;FALSE;Village des abeilles - Umons;Semi-naturel
