PROJECT.CODE;SPEC_ID;SPEC.COND_ID;SPEC.ORD;SPEC.TAX;SPEC.TAXPRIO;SPEC.GR1;SPEC.GR2;SPEC.GEN;SPEC.SP;SPEC.CLAS;SEX;DEVL;N;UNIT;ABOND;ABONDUNIT;SOCIAB;DET;REC;AUCT;SRC;COLL;CONF;REFBIB;VALIDATION;SPEC.USERA1;SPEC.USERA2;SPEC.USERA3;SPEC.USERA4;SPEC.USERA5;SPEC.USERA6;SPEC.USERA7;SPEC.USERN1;SPEC.USERN2;SPEC.USERN3;SPEC.USERN4;SPEC.USERN5;SPEC.USERN6;SPEC.USERN7;Data_Source;Data_Status;Date_Encodage;Date_Modification;SPEC_ID_ORIG;spec_lati;spec_long;spec_memo;last_Validator;date_validation;COND.COND_ID;COND.STAT_ID;COND.ORD;DAT1;DAT2;CAPT;CAPN;CPI;MICR;COND.TAX;COND.TAXPRIO;COND.GR1;COND.GR2;COND.GEN;COND.SP;COND.CLAS;ECHA;APPA;COND.USERA1;COND.USERA2;COND.USERA3;COND.USERA4;COND.USERA5;COND.USERA6;COND.USERA7;COND.USERN1;COND.USERN2;COND.USERN3;COND.USERN4;COND.USERN5;COND.USERN6;COND.USERN7;cond_memo;date_embargo;STAT.STAT_ID;REF_GEOG;STAT.ORD;COORD_CONV;PROJECT_ID;STAT.CODE;CADA;SGIB;TOPO;LOCA;FIPS;DESI;ORIG;DATUM;UTM;LATI;LONG;UGRI;X;Y;PREC;CODEGEO;ALTI;HAB1;HAB2;EXPO;REF;STAT.USERA1;STAT.USERA2;STAT.USERA3;STAT.USERA4;STAT.USERA5;STAT.USERA6;STAT.USERA7;STAT.USERN1;STAT.USERN2;STAT.USERN3;STAT.USERN4;STAT.USERN5;STAT.USERN6;STAT.USERN7;stat_memo
DEFAUT;1306;547;;Hylaeus signatus;Hylaeus signatus;HYMENOPTERA;COLLETIDAE;Hylaeus;signatus;;F;;2;;;;;WOOD T.;RUELLE E.;WOOD T.;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;14-04-21;14-04-21;;;;;;;547;1;;;20200727;Filet;;;Fleur;Reseda lutea;Reseda lutea;DICOTYLEDONE;RESEDACEAE;Reseda;lutea;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;ERM01;;;Village des abeilles - UMons;Mons;BE03;;deg +50.46275 +3.95524;WGS84;31UER6789390729;50.46274948;3.955240011;;;;;;36;;;;;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare "
DEFAUT;1337;547;;Hylaeus signatus;Hylaeus signatus;HYMENOPTERA;COLLETIDAE;Hylaeus;signatus;;M;;2;;;;;WOOD T.;RUELLE E.;WOOD T.;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;14-04-21;14-04-21;;;;;;;547;1;;;20200727;Filet;;;Fleur;Reseda lutea;Reseda lutea;DICOTYLEDONE;RESEDACEAE;Reseda;lutea;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;ERM01;;;Village des abeilles - UMons;Mons;BE03;;deg +50.46275 +3.95524;WGS84;31UER6789390729;50.46274948;3.955240011;;;;;;36;;;;;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare "
DEFAUT;873;469;;Bombus pascuorum;Bombus pascuorum;HYMENOPTERA;APIDAE;Bombus;pascuorum;;M;;2;;;;;FIORDALISO W.;RUELLE E.;FIORDALISO W.;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;07-04-21;07-04-21;;;;;;;469;1;;;20200907;Filet;;;Fleur;Knautia arvensis;Knautia arvensis;DICOTYLEDONE;DIPSACACEAE;Knautia;arvensis;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;ERM01;;;Village des abeilles - UMons;Mons;BE03;;deg +50.46275 +3.95524;WGS84;31UER6789390729;50.46274948;3.955240011;;;;;;36;;;;;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare "
DEFAUT;1141;469;;Halictus scabiosae;Halictus scabiosae;HYMENOPTERA;HALICTIDAE;Halictus;scabiosae;;M;;3;;;;;WOOD T.;RUELLE E.;WOOD T.;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;13-04-21;13-04-21;;;;;;;469;1;;;20200907;Filet;;;Fleur;Knautia arvensis;Knautia arvensis;DICOTYLEDONE;DIPSACACEAE;Knautia;arvensis;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;ERM01;;;Village des abeilles - UMons;Mons;BE03;;deg +50.46275 +3.95524;WGS84;31UER6789390729;50.46274948;3.955240011;;;;;;36;;;;;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare "
DEFAUT;34;1;;Halictus scabiosae;Halictus scabiosae;HYMENOPTERA;HALICTIDAE;Halictus;scabiosae;;F;;4;;;;;WOOD T.;RUELLE E.;WOOD T.;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;20-11-20;20-11-20;;;;;;;1;1;;;20200907;Filet;;;Fleur;Picris hieracioides;Picris hieracioides;DICOTYLEDONE;COMPOSITAE;Picris;hieracioides;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;ERM01;;;Village des abeilles - UMons;Mons;BE03;;deg +50.46275 +3.95524;WGS84;31UER6789390729;50.46274948;3.955240011;;;;;;36;;;;;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare "
DEFAUT;166;1;;Dasypoda hirtipes;Dasypoda hirtipes;HYMENOPTERA;MELITTIDAE;Dasypoda;hirtipes;;M;;1;;;;;WOOD T.;RUELLE E.;WOOD T.;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;30-11-20;30-11-20;;;;;;;1;1;;;20200907;Filet;;;Fleur;Picris hieracioides;Picris hieracioides;DICOTYLEDONE;COMPOSITAE;Picris;hieracioides;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;ERM01;;;Village des abeilles - UMons;Mons;BE03;;deg +50.46275 +3.95524;WGS84;31UER6789390729;50.46274948;3.955240011;;;;;;36;;;;;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare "
DEFAUT;538;1;;Lasioglossum leucozonium;Lasioglossum leucozonium;HYMENOPTERA;HALICTIDAE;Lasioglossum;leucozonium;;F;;1;;;;;WOOD T.;RUELLE E.;WOOD T.;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;27-03-21;27-03-21;;;;;;;1;1;;;20200907;Filet;;;Fleur;Picris hieracioides;Picris hieracioides;DICOTYLEDONE;COMPOSITAE;Picris;hieracioides;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;ERM01;;;Village des abeilles - UMons;Mons;BE03;;deg +50.46275 +3.95524;WGS84;31UER6789390729;50.46274948;3.955240011;;;;;;36;;;;;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare "
DEFAUT;634;1;;Lasioglossum morio;Lasioglossum morio;HYMENOPTERA;HALICTIDAE;Lasioglossum;morio;;F;;1;;;;;WOOD T.;RUELLE E.;WOOD T.;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;28-03-21;28-03-21;;;;;;;1;1;;;20200907;Filet;;;Fleur;Picris hieracioides;Picris hieracioides;DICOTYLEDONE;COMPOSITAE;Picris;hieracioides;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;ERM01;;;Village des abeilles - UMons;Mons;BE03;;deg +50.46275 +3.95524;WGS84;31UER6789390729;50.46274948;3.955240011;;;;;;36;;;;;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare "
DEFAUT;825;1;;Bombus pascuorum;Bombus pascuorum;HYMENOPTERA;APIDAE;Bombus;pascuorum;;W;;2;;;;;FIORDALISO W.;RUELLE E.;FIORDALISO W.;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;07-04-21;07-04-21;;;;;;;1;1;;;20200907;Filet;;;Fleur;Picris hieracioides;Picris hieracioides;DICOTYLEDONE;COMPOSITAE;Picris;hieracioides;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;ERM01;;;Village des abeilles - UMons;Mons;BE03;;deg +50.46275 +3.95524;WGS84;31UER6789390729;50.46274948;3.955240011;;;;;;36;;;;;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare "
DEFAUT;872;1;;Bombus pascuorum;Bombus pascuorum;HYMENOPTERA;APIDAE;Bombus;pascuorum;;M;;1;;;;;FIORDALISO W.;RUELLE E.;FIORDALISO W.;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;07-04-21;07-04-21;;;;;;;1;1;;;20200907;Filet;;;Fleur;Picris hieracioides;Picris hieracioides;DICOTYLEDONE;COMPOSITAE;Picris;hieracioides;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;ERM01;;;Village des abeilles - UMons;Mons;BE03;;deg +50.46275 +3.95524;WGS84;31UER6789390729;50.46274948;3.955240011;;;;;;36;;;;;;;;;;;;;;;;;;;""" Petit jardin entretenu par le laboratoire de zoologie , contenant un grand hotel a insecte , et plusieurs rectangle de fleurs plantée.
 Il est entourée d'une grille""

25/5/2020 : à 14h, nuageux mais soleil , 22°C 
- Reseda lutea +
- Echium vulgare "
