PROJECT.CODE;SPEC_ID;SPEC.COND_ID;SPEC.ORD;SPEC.TAX;SPEC.TAXPRIO;SPEC.GR1;SPEC.GR2;SPEC.GEN;SPEC.SP;SPEC.CLAS;SEX;DEVL;N;UNIT;ABOND;ABONDUNIT;SOCIAB;DET;REC;AUCT;SRC;COLL;CONF;REFBIB;VALIDATION;SPEC.USERA1;SPEC.USERA2;SPEC.USERA3;SPEC.USERA4;SPEC.USERA5;SPEC.USERA6;SPEC.USERA7;SPEC.USERN1;SPEC.USERN2;SPEC.USERN3;SPEC.USERN4;SPEC.USERN5;SPEC.USERN6;SPEC.USERN7;Data_Source;Data_Status;Date_Encodage;Date_Modification;SPEC_ID_ORIG;spec_lati;spec_long;spec_memo;last_Validator;date_validation;COND.COND_ID;COND.STAT_ID;COND.ORD;DAT1;DAT2;CAPT;CAPN;CPI;MICR;COND.TAX;COND.TAXPRIO;COND.GR1;COND.GR2;COND.GEN;COND.SP;COND.CLAS;ECHA;APPA;COND.USERA1;COND.USERA2;COND.USERA3;COND.USERA4;COND.USERA5;COND.USERA6;COND.USERA7;COND.USERN1;COND.USERN2;COND.USERN3;COND.USERN4;COND.USERN5;COND.USERN6;COND.USERN7;cond_memo;STAT.STAT_ID;REF_GEOG;STAT.ORD;COORD_CONV;PROJECT_ID;STAT.CODE;CADA;SGIB;TOPO;LOCA;FIPS;DESI;ORIG;DATUM;UTM;LATI;LONG;UGRI;X;Y;PREC;CODEGEO;ALTI;HAB1;HAB2;EXPO;REF;STAT.USERA1;STAT.USERA2;STAT.USERA3;STAT.USERA4;STAT.USERA5;STAT.USERA6;STAT.USERA7;STAT.USERN1;STAT.USERN2;STAT.USERN3;STAT.USERN4;STAT.USERN5;STAT.USERN6;STAT.USERN7;stat_memo
DEFAUT;59;37;;Andrena flavipes;Andrena flavipes;HYMENOPTERA;ANDRENIDAE;Andrena;flavipes;;M;;3;;;;;Wood T.;Cosse M.;;;;0;;;;;;;;;;;;;;;;;;0;15-07-19;15-07-19;;;;;;;37;17;;;20180419;Filet;;;Fleur;Prunus serrulata;Prunus serrulata;DICOTYLEDONE;ROSACEAE;Prunus;serrulata;;;;;;;;;;;;;;;;;;;17;;;FALSE;1;;;;Cimetière de Spiennes;Mons;BE03;CMTY;"dms 50°25'38"" 03°58'46""";WGS84;31UER0009338840;50.427222;3.979444;;;;;;44;;;;;;;;;;;;;;;;;;;"Station 17 : Cimetière de Spiennes 
Coordonnées : 50°25'37.96''N 3°58'46.14''E
Altitude : 44m
Adresse : B., Hainaut, Spiennes, Rue du Petit Spiennes, Cimetière de Spiennes
Strate arborescente :
 	Prunus serrulata Lindl. (1)
 	Pinus sp. (1)
Strate a"
DEFAUT;60;37;;Andrena vaga;Andrena vaga;HYMENOPTERA;ANDRENIDAE;Andrena;vaga;;F;;1;;;;;Wood T.;Cosse M.;;;;0;;;;;;;;;;;;;;;;;;0;15-07-19;15-07-19;;;;;;;37;17;;;20180419;Filet;;;Fleur;Prunus serrulata;Prunus serrulata;DICOTYLEDONE;ROSACEAE;Prunus;serrulata;;;;;;;;;;;;;;;;;;;17;;;FALSE;1;;;;Cimetière de Spiennes;Mons;BE03;CMTY;"dms 50°25'38"" 03°58'46""";WGS84;31UER0009338840;50.427222;3.979444;;;;;;44;;;;;;;;;;;;;;;;;;;"Station 17 : Cimetière de Spiennes 
Coordonnées : 50°25'37.96''N 3°58'46.14''E
Altitude : 44m
Adresse : B., Hainaut, Spiennes, Rue du Petit Spiennes, Cimetière de Spiennes
Strate arborescente :
 	Prunus serrulata Lindl. (1)
 	Pinus sp. (1)
Strate a"
DEFAUT;61;38;;Andrena flavipes;Andrena flavipes;HYMENOPTERA;ANDRENIDAE;Andrena;flavipes;;M;;6;;;;;Wood T.;Cosse M.;;;;0;;;;;;;;;;;;;;;;;;0;15-07-19;22-09-19;;;;;;;38;17;;;20180419;Bac;;Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;FALSE;1;;;;Cimetière de Spiennes;Mons;BE03;CMTY;"dms 50°25'38"" 03°58'46""";WGS84;31UER0009338840;50.427222;3.979444;;;;;;44;;;;;;;;;;;;;;;;;;;"Station 17 : Cimetière de Spiennes 
Coordonnées : 50°25'37.96''N 3°58'46.14''E
Altitude : 44m
Adresse : B., Hainaut, Spiennes, Rue du Petit Spiennes, Cimetière de Spiennes
Strate arborescente :
 	Prunus serrulata Lindl. (1)
 	Pinus sp. (1)
Strate a"
DEFAUT;62;38;;Andrena vaga;Andrena vaga;HYMENOPTERA;ANDRENIDAE;Andrena;vaga;;F;;23;;;;;Wood T.;Cosse M.;;;;0;;;;;;;;;;;;;;;;;;0;15-07-19;15-07-19;;;;;;;38;17;;;20180419;Bac;;Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;FALSE;1;;;;Cimetière de Spiennes;Mons;BE03;CMTY;"dms 50°25'38"" 03°58'46""";WGS84;31UER0009338840;50.427222;3.979444;;;;;;44;;;;;;;;;;;;;;;;;;;"Station 17 : Cimetière de Spiennes 
Coordonnées : 50°25'37.96''N 3°58'46.14''E
Altitude : 44m
Adresse : B., Hainaut, Spiennes, Rue du Petit Spiennes, Cimetière de Spiennes
Strate arborescente :
 	Prunus serrulata Lindl. (1)
 	Pinus sp. (1)
Strate a"
DEFAUT;63;38;;Andrena vaga;Andrena vaga;HYMENOPTERA;ANDRENIDAE;Andrena;vaga;;M;;1;;;;;Wood T.;Cosse M.;;;;0;;;;;;;;;;;;;;;;;;0;15-07-19;15-07-19;;;;;;;38;17;;;20180419;Bac;;Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;FALSE;1;;;;Cimetière de Spiennes;Mons;BE03;CMTY;"dms 50°25'38"" 03°58'46""";WGS84;31UER0009338840;50.427222;3.979444;;;;;;44;;;;;;;;;;;;;;;;;;;"Station 17 : Cimetière de Spiennes 
Coordonnées : 50°25'37.96''N 3°58'46.14''E
Altitude : 44m
Adresse : B., Hainaut, Spiennes, Rue du Petit Spiennes, Cimetière de Spiennes
Strate arborescente :
 	Prunus serrulata Lindl. (1)
 	Pinus sp. (1)
Strate a"
DEFAUT;64;38;;Lasioglossum malachurum;Lasioglossum malachurum;HYMENOPTERA;HALICTIDAE;Lasioglossum;malachurum;;F;;1;;;;;Pauly A.;Cosse M.;;;;0;;;;;;;;;;;;;;;;;;0;15-07-19;15-07-19;;;;;;;38;17;;;20180419;Bac;;Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;FALSE;1;;;;Cimetière de Spiennes;Mons;BE03;CMTY;"dms 50°25'38"" 03°58'46""";WGS84;31UER0009338840;50.427222;3.979444;;;;;;44;;;;;;;;;;;;;;;;;;;"Station 17 : Cimetière de Spiennes 
Coordonnées : 50°25'37.96''N 3°58'46.14''E
Altitude : 44m
Adresse : B., Hainaut, Spiennes, Rue du Petit Spiennes, Cimetière de Spiennes
Strate arborescente :
 	Prunus serrulata Lindl. (1)
 	Pinus sp. (1)
Strate a"
DEFAUT;65;38;;Lasioglossum morio;Lasioglossum morio;HYMENOPTERA;HALICTIDAE;Lasioglossum;morio;;F;;2;;;;;Pauly A.;Cosse M.;;;;0;;;;;;;;;;;;;;;;;;0;15-07-19;15-07-19;;;;;;;38;17;;;20180419;Bac;;Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;FALSE;1;;;;Cimetière de Spiennes;Mons;BE03;CMTY;"dms 50°25'38"" 03°58'46""";WGS84;31UER0009338840;50.427222;3.979444;;;;;;44;;;;;;;;;;;;;;;;;;;"Station 17 : Cimetière de Spiennes 
Coordonnées : 50°25'37.96''N 3°58'46.14''E
Altitude : 44m
Adresse : B., Hainaut, Spiennes, Rue du Petit Spiennes, Cimetière de Spiennes
Strate arborescente :
 	Prunus serrulata Lindl. (1)
 	Pinus sp. (1)
Strate a"
DEFAUT;66;38;;Andrena flavipes;Andrena flavipes;HYMENOPTERA;ANDRENIDAE;Andrena;flavipes;;F;;1;;;;;Wood T.;Cosse M.;;;;0;;;;;;;;;;;;;;;;;;0;15-07-19;15-07-19;;;;;;;38;17;;;20180419;Bac;;Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;FALSE;1;;;;Cimetière de Spiennes;Mons;BE03;CMTY;"dms 50°25'38"" 03°58'46""";WGS84;31UER0009338840;50.427222;3.979444;;;;;;44;;;;;;;;;;;;;;;;;;;"Station 17 : Cimetière de Spiennes 
Coordonnées : 50°25'37.96''N 3°58'46.14''E
Altitude : 44m
Adresse : B., Hainaut, Spiennes, Rue du Petit Spiennes, Cimetière de Spiennes
Strate arborescente :
 	Prunus serrulata Lindl. (1)
 	Pinus sp. (1)
Strate a"
DEFAUT;67;39;;Andrena humilis;Andrena humilis;HYMENOPTERA;ANDRENIDAE;Andrena;humilis;;F;;4;;;;;Wood T.;Cosse M.;;;;0;;;;;;;;;;;;;;;;;;0;15-07-19;15-07-19;;;;;;;39;17;;;20180419;Bac;;Jaune;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;FALSE;1;;;;Cimetière de Spiennes;Mons;BE03;CMTY;"dms 50°25'38"" 03°58'46""";WGS84;31UER0009338840;50.427222;3.979444;;;;;;44;;;;;;;;;;;;;;;;;;;"Station 17 : Cimetière de Spiennes 
Coordonnées : 50°25'37.96''N 3°58'46.14''E
Altitude : 44m
Adresse : B., Hainaut, Spiennes, Rue du Petit Spiennes, Cimetière de Spiennes
Strate arborescente :
 	Prunus serrulata Lindl. (1)
 	Pinus sp. (1)
Strate a"
DEFAUT;68;39;;Andrena vaga;Andrena vaga;HYMENOPTERA;ANDRENIDAE;Andrena;vaga;;F;;2;;;;;Wood T.;Cosse M.;;;;0;;;;;;;;;;;;;;;;;;0;15-07-19;15-07-19;;;;;;;39;17;;;20180419;Bac;;Jaune;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;FALSE;1;;;;Cimetière de Spiennes;Mons;BE03;CMTY;"dms 50°25'38"" 03°58'46""";WGS84;31UER0009338840;50.427222;3.979444;;;;;;44;;;;;;;;;;;;;;;;;;;"Station 17 : Cimetière de Spiennes 
Coordonnées : 50°25'37.96''N 3°58'46.14''E
Altitude : 44m
Adresse : B., Hainaut, Spiennes, Rue du Petit Spiennes, Cimetière de Spiennes
Strate arborescente :
 	Prunus serrulata Lindl. (1)
 	Pinus sp. (1)
Strate a"
