PROJECT.CODE;SPEC_ID;SPEC.COND_ID;SPEC.ORD;SPEC.TAX;SPEC.TAXPRIO;SPEC.GR1;SPEC.GR2;SPEC.GEN;SPEC.SP;SPEC.CLAS;SEX;DEVL;N;UNIT;ABOND;ABONDUNIT;SOCIAB;DET;REC;AUCT;SRC;COLL;CONF;REFBIB;VALIDATION;SPEC.USERA1;SPEC.USERA2;SPEC.USERA3;SPEC.USERA4;SPEC.USERA5;SPEC.USERA6;SPEC.USERA7;SPEC.USERN1;SPEC.USERN2;SPEC.USERN3;SPEC.USERN4;SPEC.USERN5;SPEC.USERN6;SPEC.USERN7;Data_Source;Data_Status;Date_Encodage;Date_Modification;SPEC_ID_ORIG;spec_lati;spec_long;spec_memo;last_Validator;date_validation;COND.COND_ID;COND.STAT_ID;COND.ORD;DAT1;DAT2;CAPT;CAPN;CPI;MICR;COND.TAX;COND.TAXPRIO;COND.GR1;COND.GR2;COND.GEN;COND.SP;COND.CLAS;ECHA;APPA;COND.USERA1;COND.USERA2;COND.USERA3;COND.USERA4;COND.USERA5;COND.USERA6;COND.USERA7;COND.USERN1;COND.USERN2;COND.USERN3;COND.USERN4;COND.USERN5;COND.USERN6;COND.USERN7;cond_memo;date_embargo;STAT.STAT_ID;REF_GEOG;STAT.ORD;COORD_CONV;PROJECT_ID;STAT.CODE;CADA;SGIB;TOPO;LOCA;FIPS;DESI;ORIG;DATUM;UTM;LATI;LONG;UGRI;X;Y;PREC;CODEGEO;ALTI;HAB1;HAB2;EXPO;REF;STAT.USERA1;STAT.USERA2;STAT.USERA3;STAT.USERA4;STAT.USERA5;STAT.USERA6;STAT.USERA7;STAT.USERN1;STAT.USERN2;STAT.USERN3;STAT.USERN4;STAT.USERN5;STAT.USERN6;STAT.USERN7;stat_memo
Mémoire;833;417;;Bombus pascuorum floralis;Bombus pascuorum floralis;HYMENOPTERA;APIDAE;Bombus;pascuorum;;W;;2;;;;;P. Rasmont;W. Fiordaliso;P. Rasmont;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;30-11-19;30-11-19;;;;;;;417;1;;;20190616;Filet;;;Fleur;Symphytum officinale;Symphytum officinale;DICOTYLEDONE;BORAGINACEAE;Symphytum;officinale;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;WFM1;;;Beaulieu;Mons;BE03;;deg +50.44989 +4.05995;WGS84;31UER7534589399;50.44989014;4.059949875;;;;;;70;;;;;;;;;;;;;;;;;;;"La rue de Beaulieu traverse le bois du Rapois en contournant le terril de Beaulieu. Ses abords sont marécageux et l'on peut y observer des iris jaunes ainsi que des gaillets des marais. La zone a en outre  été classée Natura2000. 
La zone de collecte cor"
Mémoire;821;407;;Bombus pascuorum floralis;Bombus pascuorum floralis;HYMENOPTERA;APIDAE;Bombus;pascuorum;;W;;1;;;;;P. Rasmont;W. Fiordaliso;P. Rasmont;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;30-11-19;30-11-19;;;;;;;407;1;;;20190714;Filet;;;Fleur;Trifolium pratense;Trifolium pratense;DICOTYLEDONE;LEGUMINOSAE;Trifolium;pratense;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;WFM1;;;Beaulieu;Mons;BE03;;deg +50.44989 +4.05995;WGS84;31UER7534589399;50.44989014;4.059949875;;;;;;70;;;;;;;;;;;;;;;;;;;"La rue de Beaulieu traverse le bois du Rapois en contournant le terril de Beaulieu. Ses abords sont marécageux et l'on peut y observer des iris jaunes ainsi que des gaillets des marais. La zone a en outre  été classée Natura2000. 
La zone de collecte cor"
Mémoire;1208;572;;Bombus pascuorum floralis;Bombus pascuorum floralis;HYMENOPTERA;APIDAE;Bombus;pascuorum;;0;;1;;;;;W. Fiordaliso;W. Fiordaliso;W. Fiordaliso;T;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;26-01-20;26-01-20;;;;;;;572;1;;;20190714;PONCT;;;Fleur;Geum urbanum;Geum urbanum;DICOTYLEDONE;ROSACEAE;Geum;urbanum;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;WFM1;;;Beaulieu;Mons;BE03;;deg +50.44989 +4.05995;WGS84;31UER7534589399;50.44989014;4.059949875;;;;;;70;;;;;;;;;;;;;;;;;;;"La rue de Beaulieu traverse le bois du Rapois en contournant le terril de Beaulieu. Ses abords sont marécageux et l'on peut y observer des iris jaunes ainsi que des gaillets des marais. La zone a en outre  été classée Natura2000. 
La zone de collecte cor"
Mémoire;483;254;;Lasioglossum pauxillum;Lasioglossum pauxillum;HYMENOPTERA;HALICTIDAE;Lasioglossum;morio;;F;;1;;;;;T. Wood;W. Fiordaliso;T. Wood;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;09-09-19;09-09-19;;;;;;;254;1;;;20190714;Filet;;;Fleur;Crepis capillaris;Crepis capillaris;DICOTYLEDONE;COMPOSITAE;Crepis;capillaris;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;WFM1;;;Beaulieu;Mons;BE03;;deg +50.44989 +4.05995;WGS84;31UER7534589399;50.44989014;4.059949875;;;;;;70;;;;;;;;;;;;;;;;;;;"La rue de Beaulieu traverse le bois du Rapois en contournant le terril de Beaulieu. Ses abords sont marécageux et l'on peut y observer des iris jaunes ainsi que des gaillets des marais. La zone a en outre  été classée Natura2000. 
La zone de collecte cor"
Mémoire;820;254;;Bombus pascuorum floralis;Bombus pascuorum floralis;HYMENOPTERA;APIDAE;Bombus;pascuorum;;W;;1;;;;;P. Rasmont;W. Fiordaliso;P. Rasmont;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;30-11-19;30-11-19;;;;;;;254;1;;;20190714;Filet;;;Fleur;Crepis capillaris;Crepis capillaris;DICOTYLEDONE;COMPOSITAE;Crepis;capillaris;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;WFM1;;;Beaulieu;Mons;BE03;;deg +50.44989 +4.05995;WGS84;31UER7534589399;50.44989014;4.059949875;;;;;;70;;;;;;;;;;;;;;;;;;;"La rue de Beaulieu traverse le bois du Rapois en contournant le terril de Beaulieu. Ses abords sont marécageux et l'on peut y observer des iris jaunes ainsi que des gaillets des marais. La zone a en outre  été classée Natura2000. 
La zone de collecte cor"
Mémoire;1094;543;;Bombus sylvestris;Bombus sylvestris;HYMENOPTERA;APIDAE;Bombus;sylvestris;;F;;1;;;;;P. Rasmont;W. Fiordaliso;P. Rasmont;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;24-01-20;24-01-20;;;;;;;543;1;;;20190512;Filet;;;Fleur;Taraxacum  sp.;Taraxacum  sp.;DICOTYLEDONE;COMPOSITAE;Taraxacum;sp.;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;WFM1;;;Beaulieu;Mons;BE03;;deg +50.44989 +4.05995;WGS84;31UER7534589399;50.44989014;4.059949875;;;;;;70;;;;;;;;;;;;;;;;;;;"La rue de Beaulieu traverse le bois du Rapois en contournant le terril de Beaulieu. Ses abords sont marécageux et l'on peut y observer des iris jaunes ainsi que des gaillets des marais. La zone a en outre  été classée Natura2000. 
La zone de collecte cor"
Mémoire;901;460;;Bombus pascuorum floralis;Bombus pascuorum floralis;HYMENOPTERA;APIDAE;Bombus;pascuorum;;W;;2;;;;;P. Rasmont;W. Fiordaliso;P. Rasmont;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;22-01-20;22-01-20;;;;;;;460;1;;;20190811;Filet;;;Fleur;Galeopsis tetrahit;Galeopsis tetrahit;DICOTYLEDONE;LABIATAE;Galeopsis;tetrahit;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;WFM1;;;Beaulieu;Mons;BE03;;deg +50.44989 +4.05995;WGS84;31UER7534589399;50.44989014;4.059949875;;;;;;70;;;;;;;;;;;;;;;;;;;"La rue de Beaulieu traverse le bois du Rapois en contournant le terril de Beaulieu. Ses abords sont marécageux et l'on peut y observer des iris jaunes ainsi que des gaillets des marais. La zone a en outre  été classée Natura2000. 
La zone de collecte cor"
Mémoire;1063;531;;Bombus lucorum;Bombus lucorum;HYMENOPTERA;APIDAE;Bombus;lucorum;;F;;1;;;;;P. Rasmont;W. Fiordaliso;P. Rasmont;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;24-01-20;24-01-20;;;;;;;531;1;;;20190512;Filet;;;Fleur;Ranunculus repens;Ranunculus repens;DICOTYLEDONE;RANUNCULACEAE;Ranunculus;repens;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;WFM1;;;Beaulieu;Mons;BE03;;deg +50.44989 +4.05995;WGS84;31UER7534589399;50.44989014;4.059949875;;;;;;70;;;;;;;;;;;;;;;;;;;"La rue de Beaulieu traverse le bois du Rapois en contournant le terril de Beaulieu. Ses abords sont marécageux et l'on peut y observer des iris jaunes ainsi que des gaillets des marais. La zone a en outre  été classée Natura2000. 
La zone de collecte cor"
Mémoire;443;231;;Andrena minutula;Andrena minutula;HYMENOPTERA;ANDRENIDAE;Andrena;minutula;;F;;1;;;;;T. Wood;W. Fiordaliso;T. Wood;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;08-09-19;08-09-19;;;;;;;231;1;;;20190616;Filet;;;Fleur;Potentilla anserina;Potentilla anserina;DICOTYLEDONE;ROSACEAE;Potentilla;anserina;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;WFM1;;;Beaulieu;Mons;BE03;;deg +50.44989 +4.05995;WGS84;31UER7534589399;50.44989014;4.059949875;;;;;;70;;;;;;;;;;;;;;;;;;;"La rue de Beaulieu traverse le bois du Rapois en contournant le terril de Beaulieu. Ses abords sont marécageux et l'on peut y observer des iris jaunes ainsi que des gaillets des marais. La zone a en outre  été classée Natura2000. 
La zone de collecte cor"
Mémoire;834;418;;Bombus pascuorum floralis;Bombus pascuorum floralis;HYMENOPTERA;APIDAE;Bombus;pascuorum;;W;;1;;;;;P. Rasmont;W. Fiordaliso;P. Rasmont;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;30-11-19;30-11-19;;;;;;;418;1;;;20190616;Filet;;;Fleur;Vicia sativa;Vicia sativa;DICOTYLEDONE;LEGUMINOSAE;Vicia;sativa;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;WFM1;;;Beaulieu;Mons;BE03;;deg +50.44989 +4.05995;WGS84;31UER7534589399;50.44989014;4.059949875;;;;;;70;;;;;;;;;;;;;;;;;;;"La rue de Beaulieu traverse le bois du Rapois en contournant le terril de Beaulieu. Ses abords sont marécageux et l'on peut y observer des iris jaunes ainsi que des gaillets des marais. La zone a en outre  été classée Natura2000. 
La zone de collecte cor"
Mémoire;841;424;;Bombus pascuorum floralis;Bombus pascuorum floralis;HYMENOPTERA;APIDAE;Bombus;pascuorum;;W;;1;;;;;P. Rasmont;W. Fiordaliso;P. Rasmont;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;30-11-19;30-11-19;;;;;;;424;1;;;20190616;Filet;;;Fleur;Geranium robertianum;Geranium robertianum;DICOTYLEDONE;GERANIACEAE;Geranium;robertianum;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;WFM1;;;Beaulieu;Mons;BE03;;deg +50.44989 +4.05995;WGS84;31UER7534589399;50.44989014;4.059949875;;;;;;70;;;;;;;;;;;;;;;;;;;"La rue de Beaulieu traverse le bois du Rapois en contournant le terril de Beaulieu. Ses abords sont marécageux et l'on peut y observer des iris jaunes ainsi que des gaillets des marais. La zone a en outre  été classée Natura2000. 
La zone de collecte cor"
