PROJECT.CODE;SPEC_ID;SPEC.COND_ID;SPEC.ORD;SPEC.TAX;SPEC.TAXPRIO;SPEC.GR1;SPEC.GR2;SPEC.GEN;SPEC.SP;SPEC.CLAS;SEX;DEVL;N;UNIT;ABOND;ABONDUNIT;SOCIAB;DET;REC;AUCT;SRC;COLL;CONF;REFBIB;VALIDATION;SPEC.USERA1;SPEC.USERA2;SPEC.USERA3;SPEC.USERA4;SPEC.USERA5;SPEC.USERA6;SPEC.USERA7;SPEC.USERN1;SPEC.USERN2;SPEC.USERN3;SPEC.USERN4;SPEC.USERN5;SPEC.USERN6;SPEC.USERN7;Data_Source;Data_Status;Date_Encodage;Date_Modification;SPEC_ID_ORIG;spec_lati;spec_long;spec_memo;last_Validator;date_validation;COND.COND_ID;COND.STAT_ID;COND.ORD;DAT1;DAT2;CAPT;CAPN;CPI;MICR;COND.TAX;COND.TAXPRIO;COND.GR1;COND.GR2;COND.GEN;COND.SP;COND.CLAS;ECHA;APPA;COND.USERA1;COND.USERA2;COND.USERA3;COND.USERA4;COND.USERA5;COND.USERA6;COND.USERA7;COND.USERN1;COND.USERN2;COND.USERN3;COND.USERN4;COND.USERN5;COND.USERN6;COND.USERN7;cond_memo;date_embargo;STAT.STAT_ID;REF_GEOG;STAT.ORD;COORD_CONV;PROJECT_ID;STAT.CODE;CADA;SGIB;TOPO;LOCA;FIPS;DESI;ORIG;DATUM;UTM;LATI;LONG;UGRI;X;Y;PREC;CODEGEO;ALTI;HAB1;HAB2;EXPO;REF;STAT.USERA1;STAT.USERA2;STAT.USERA3;STAT.USERA4;STAT.USERA5;STAT.USERA6;STAT.USERA7;STAT.USERN1;STAT.USERN2;STAT.USERN3;STAT.USERN4;STAT.USERN5;STAT.USERN6;STAT.USERN7;stat_memo
DEFAUT;26;1;;Osmia spinulosa;Osmia spinulosa;HYMENOPTERA;MEGACHILIDAE;Hoplosmia;spinulosa;;M;;1;;;;;T.Wood;A.Lefebvre;T.Wood;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;27-11-20;08-12-20;;;;;;;1;1;;;20200521;Filet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;ALM01;;;Terril du sept huit stat 1;Boussu;BE03;;deg +50.42122 +3.82156;WGS84;31UER5845685997;50.42121887;3.821559906;;;;;;56;;;;;;;;;;;;;;;;;;;"Pied du terril, milieu ouvert avec quelques arbustes et entouré d'arbres (dominé par Robinia pseudoacaccia )

Strat arborée : Robinia pseudoacaccia (fleur uniquement en mai ) et Betula pendula
Strat arbustive 10% 1-2m de haut (fleur uniquement en mai )"
DEFAUT;185;1;;Megachile centuncularis;Megachile centuncularis;HYMENOPTERA;MEGACHILIDAE;Megachile;centuncularis;;F;;1;;;;;T.Wood;A.Lefebvre;T.Wood;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;08-12-20;08-12-20;;;;;;;1;1;;;20200521;Filet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;ALM01;;;Terril du sept huit stat 1;Boussu;BE03;;deg +50.42122 +3.82156;WGS84;31UER5845685997;50.42121887;3.821559906;;;;;;56;;;;;;;;;;;;;;;;;;;"Pied du terril, milieu ouvert avec quelques arbustes et entouré d'arbres (dominé par Robinia pseudoacaccia )

Strat arborée : Robinia pseudoacaccia (fleur uniquement en mai ) et Betula pendula
Strat arbustive 10% 1-2m de haut (fleur uniquement en mai )"
DEFAUT;113;1;;Hoplitis tridentata;Hoplitis tridentata;HYMENOPTERA;MEGACHILIDAE;Hoplitis;tridentata;;F;;1;;;;;T.Wood;A.Lefebvre;T.Wood;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;04-12-20;08-12-20;;;;;;;1;1;;;20200521;Filet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;FALSE;1;ALM01;;;Terril du sept huit stat 1;Boussu;BE03;;deg +50.42122 +3.82156;WGS84;31UER5845685997;50.42121887;3.821559906;;;;;;56;;;;;;;;;;;;;;;;;;;"Pied du terril, milieu ouvert avec quelques arbustes et entouré d'arbres (dominé par Robinia pseudoacaccia )

Strat arborée : Robinia pseudoacaccia (fleur uniquement en mai ) et Betula pendula
Strat arbustive 10% 1-2m de haut (fleur uniquement en mai )"
DEFAUT;3;5;;Andrena wilkella;Andrena wilkella;HYMENOPTERA;ANDRENIDAE;Andrena;wilkella;;F;;1;;;;;T.Wood;T.Wood;T.Wood;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;27-11-20;13-03-21;;;;;;;5;21;;;20200528;Filet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;FALSE;1;ALM21;;;Terril du Ferrand;Dour;BE03;;deg +50.3978 +3.74139;WGS84;31UER5278783333;50.39780045;3.74138999;;;;;;67;;;;;;;;;;;;;;;;;;;"
présence d'un regroupement de nids de colletes hederae"
DEFAUT;4;5;;Andrena labialis;Andrena labialis;HYMENOPTERA;ANDRENIDAE;Andrena;labialis;;M;;1;;;;;T.Wood;T.Wood;T.Wood;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;27-11-20;13-03-21;;;;;;;5;21;;;20200528;Filet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;FALSE;1;ALM21;;;Terril du Ferrand;Dour;BE03;;deg +50.3978 +3.74139;WGS84;31UER5278783333;50.39780045;3.74138999;;;;;;67;;;;;;;;;;;;;;;;;;;"
présence d'un regroupement de nids de colletes hederae"
DEFAUT;5;5;;Sphecodes geoffrellus;Sphecodes geoffrellus;HYMENOPTERA;HALICTIDAE;Sphecodes;geoffrellus;;F;;2;;;;;T.Wood;T.Wood;T.Wood;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;27-11-20;13-03-21;;;;;;;5;21;;;20200528;Filet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;FALSE;1;ALM21;;;Terril du Ferrand;Dour;BE03;;deg +50.3978 +3.74139;WGS84;31UER5278783333;50.39780045;3.74138999;;;;;;67;;;;;;;;;;;;;;;;;;;"
présence d'un regroupement de nids de colletes hederae"
DEFAUT;7;5;;Hoplitis leucomelana;Hoplitis leucomelana;HYMENOPTERA;MEGACHILIDAE;Hoplitis;leucomelana;;M;;1;;;;;T.Wood;T.Wood;T.Wood;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;27-11-20;13-03-21;;;;;;;5;21;;;20200528;Filet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;FALSE;1;ALM21;;;Terril du Ferrand;Dour;BE03;;deg +50.3978 +3.74139;WGS84;31UER5278783333;50.39780045;3.74138999;;;;;;67;;;;;;;;;;;;;;;;;;;"
présence d'un regroupement de nids de colletes hederae"
DEFAUT;8;5;;Ceratina cyanea;Ceratina cyanea;HYMENOPTERA;APIDAE;Ceratina;cyanea;;F;;1;;;;;T.Wood;T.Wood;T.Wood;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;27-11-20;13-03-21;;;;;;;5;21;;;20200528;Filet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;FALSE;1;ALM21;;;Terril du Ferrand;Dour;BE03;;deg +50.3978 +3.74139;WGS84;31UER5278783333;50.39780045;3.74138999;;;;;;67;;;;;;;;;;;;;;;;;;;"
présence d'un regroupement de nids de colletes hederae"
DEFAUT;9;5;;Chelostoma florisomne;Chelostoma florisomne;HYMENOPTERA;MEGACHILIDAE;Chelostoma;florisomne;;F;;1;;;;;T.Wood;T.Wood;T.Wood;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;27-11-20;13-03-21;;;;;;;5;21;;;20200528;Filet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;FALSE;1;ALM21;;;Terril du Ferrand;Dour;BE03;;deg +50.3978 +3.74139;WGS84;31UER5278783333;50.39780045;3.74138999;;;;;;67;;;;;;;;;;;;;;;;;;;"
présence d'un regroupement de nids de colletes hederae"
DEFAUT;10;5;;Lasioglossum villosulum;Lasioglossum villosulum;HYMENOPTERA;HALICTIDAE;Lasioglossum;villosulum;;F;;1;;;;;T.Wood;T.Wood;T.Wood;2;;2;;;;;;;;;;;;;;;;;BDFGM_Mons;0;27-11-20;13-03-21;;;;;;;5;21;;;20200528;Filet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;FALSE;1;ALM21;;;Terril du Ferrand;Dour;BE03;;deg +50.3978 +3.74139;WGS84;31UER5278783333;50.39780045;3.74138999;;;;;;67;;;;;;;;;;;;;;;;;;;"
présence d'un regroupement de nids de colletes hederae"
