LCCS,artificial,sol_nu_tot,bois_total,agricol_to,espace_ouv,eau_perman,layer,path
60,15.392,1.516,23.186,33.824,21.252,0.031,Station_Terril Bayemont-Saint Charles,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Bayemont-Saint Charles.shp
130,15.392,1.516,23.186,33.824,21.252,0.031,Station_Terril Bayemont-Saint Charles,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Bayemont-Saint Charles.shp
120,15.392,1.516,23.186,33.824,21.252,0.031,Station_Terril Bayemont-Saint Charles,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Bayemont-Saint Charles.shp
190,15.392,1.516,23.186,33.824,21.252,0.031,Station_Terril Bayemont-Saint Charles,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Bayemont-Saint Charles.shp
195,15.392,1.516,23.186,33.824,21.252,0.031,Station_Terril Bayemont-Saint Charles,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Bayemont-Saint Charles.shp
130,11.533,0.032,39.428,26.988,19.116,0.057,Station_Terril Belle vue du huite,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Belle vue du huite.shp
100,11.533,0.032,39.428,26.988,19.116,0.057,Station_Terril Belle vue du huite,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Belle vue du huite.shp
60,11.533,0.032,39.428,26.988,19.116,0.057,Station_Terril Belle vue du huite,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Belle vue du huite.shp
195,11.533,0.032,39.428,26.988,19.116,0.057,Station_Terril Belle vue du huite,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Belle vue du huite.shp
110,11.533,0.032,39.428,26.988,19.116,0.057,Station_Terril Belle vue du huite,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Belle vue du huite.shp
10,11.533,0.032,39.428,26.988,19.116,0.057,Station_Terril Belle vue du huite,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Belle vue du huite.shp
40,11.533,0.032,39.428,26.988,19.116,0.057,Station_Terril Belle vue du huite,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Belle vue du huite.shp
120,11.533,0.032,39.428,26.988,19.116,0.057,Station_Terril Belle vue du huite,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Belle vue du huite.shp
190,11.533,0.032,39.428,26.988,19.116,0.057,Station_Terril Belle vue du huite,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Belle vue du huite.shp
195,12.510,2.775,23.008,47.309,12.229,0.000,Station_Terril Ciply st1,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ciply st1.shp
40,12.510,2.775,23.008,47.309,12.229,0.000,Station_Terril Ciply st1,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ciply st1.shp
10,12.510,2.775,23.008,47.309,12.229,0.000,Station_Terril Ciply st1,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ciply st1.shp
130,12.510,2.775,23.008,47.309,12.229,0.000,Station_Terril Ciply st1,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ciply st1.shp
60,12.510,2.775,23.008,47.309,12.229,0.000,Station_Terril Ciply st1,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ciply st1.shp
190,12.510,2.775,23.008,47.309,12.229,0.000,Station_Terril Ciply st1,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ciply st1.shp
61,12.510,2.775,23.008,47.309,12.229,0.000,Station_Terril Ciply st1,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ciply st1.shp
100,12.510,2.775,23.008,47.309,12.229,0.000,Station_Terril Ciply st1,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ciply st1.shp
60,4.163,0.635,19.270,66.035,5.902,0.000,Station_Terril Dix-Huit,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Dix-Huit.shp
10,4.163,0.635,19.270,66.035,5.902,0.000,Station_Terril Dix-Huit,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Dix-Huit.shp
130,4.163,0.635,19.270,66.035,5.902,0.000,Station_Terril Dix-Huit,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Dix-Huit.shp
100,4.163,0.635,19.270,66.035,5.902,0.000,Station_Terril Dix-Huit,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Dix-Huit.shp
110,4.163,0.635,19.270,66.035,5.902,0.000,Station_Terril Dix-Huit,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Dix-Huit.shp
40,4.163,0.635,19.270,66.035,5.902,0.000,Station_Terril Dix-Huit,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Dix-Huit.shp
61,4.163,0.635,19.270,66.035,5.902,0.000,Station_Terril Dix-Huit,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Dix-Huit.shp
30,4.163,0.635,19.270,66.035,5.902,0.000,Station_Terril Dix-Huit,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Dix-Huit.shp
195,4.163,0.635,19.270,66.035,5.902,0.000,Station_Terril Dix-Huit,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Dix-Huit.shp
60,14.503,0.141,22.001,43.589,16.920,0.000,Station_Terril Ferrand,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ferrand.shp
90,14.503,0.141,22.001,43.589,16.920,0.000,Station_Terril Ferrand,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ferrand.shp
70,14.503,0.141,22.001,43.589,16.920,0.000,Station_Terril Ferrand,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ferrand.shp
195,14.503,0.141,22.001,43.589,16.920,0.000,Station_Terril Ferrand,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ferrand.shp
130,14.503,0.141,22.001,43.589,16.920,0.000,Station_Terril Ferrand,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ferrand.shp
120,14.503,0.141,22.001,43.589,16.920,0.000,Station_Terril Ferrand,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ferrand.shp
110,14.503,0.141,22.001,43.589,16.920,0.000,Station_Terril Ferrand,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ferrand.shp
10,14.503,0.141,22.001,43.589,16.920,0.000,Station_Terril Ferrand,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ferrand.shp
190,14.503,0.141,22.001,43.589,16.920,0.000,Station_Terril Ferrand,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ferrand.shp
30,14.503,0.141,22.001,43.589,16.920,0.000,Station_Terril Ferrand,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Ferrand.shp
10,16.672,0.000,15.755,48.962,16.182,0.000,Station_Terril Grand Buisson,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Grand Buisson.shp
190,16.672,0.000,15.755,48.962,16.182,0.000,Station_Terril Grand Buisson,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Grand Buisson.shp
130,16.672,0.000,15.755,48.962,16.182,0.000,Station_Terril Grand Buisson,C:\Users\lalie\Desktop\layer site mémoire\250alexl\Station_Terril Grand Buisson.shp
