artificial;sol_nu_tot;bois_total;agricol_to;espace_ouv;eau_perman;layer
2.14;0.00;95.53;0.24;1.74;0.00;Bois_de_Bon-Secours
11.41;2.24;39.29;31.91;12.36;0.28;Bois_de_Wadelincourt
5.83;6.27;0.24;82.73;0.77;3.79;Chemin_de_Roucourt
8.08;0.09;16.61;38.07;15.11;21.37;Chemin_de_Trainage
21.01;1.55;32.47;13.92;29.39;0.06;Friche_des_Vignobles
6.87;0.01;27.16;13.76;49.62;0.33;Marais_de_Douvrais
10.32;0.40;24.94;49.60;12.18;0.00;Marcasse
7.51;1.32;71.52;1.61;16.78;0.00;Mer_de_Sable
9.36;0.00;73.72;8.05;7.55;0.01;Mont_Ostènes
11.95;0.14;38.96;38.03;8.73;0.39;Parc_de_Jemappes
10.13;0.01;42.29;15.13;30.68;0.00;Parc_des_5_Rocs
14.18;0.01;47.39;13.55;16.59;1.10;Pré_à_Parchon
42.17;0.12;24.90;18.53;12.61;0.05;Ravel98
19.19;0.06;20.23;51.91;7.36;0.12;Rue_Jean_Winance
39.53;1.26;25.45;20.77;11.40;0.04;Rue_La-dessous
19.74;0.02;20.30;46.56;7.60;2.50;Rue_de_Carne
29.57;0.18;31.83;17.64;18.25;0.07;Rue_de_Castillon
2.77;0.04;12.23;42.81;2.28;38.61;Rue_du_Bois
18.64;0.34;35.59;15.75;21.00;4.54;Vieill_Haine
43.61;0.62;7.42;39.57;7.29;0.43;station_ancienne_gare250
1.23;0.01;97.23;0.17;1.19;0.00;station_bois_havré250
0.96;29.38;1.84;64.79;1.82;0.72;station_camp-a-cayaux250
19.78;0.07;25.38;33.59;14.55;3.86;station_cascade250
21.66;0.03;20.07;35.93;8.57;10.32;station_chateau_havré250
5.08;0.01;4.84;83.00;5.14;0.36;station_cimetierre_spienne250
59.24;0.04;11.63;14.17;13.68;0.01;station_epargne250
42.64;0.01;11.38;33.90;8.01;0.00;station_gare250
25.31;0.15;30.82;18.67;7.73;15.86;station_gd_large250
11.90;0.06;6.88;75.89;3.42;0.00;station_géothermia250
65.62;0.07;14.06;7.88;7.12;3.03;station_haine250
80.71;0.00;7.26;3.70;7.49;0.04;station_jardin_suspendu250
2.63;0.00;34.07;46.47;14.43;1.26;station_mont_panisel250
11.94;0.00;26.40;44.91;13.01;1.66;station_moulin250
28.57;0.34;19.01;34.65;15.18;0.02;station_notre_dame_petit_nimy250
18.38;31.04;23.27;10.20;13.66;0.04;station_omya250
35.80;0.07;27.84;10.97;10.49;12.42;station_parc_obourg250
23.40;0.21;28.90;28.55;11.23;2.89;station_pemh_obourg250
9.45;0.05;24.93;56.33;7.80;0.01;station_pont_prince250
14.03;0.17;38.76;26.12;16.91;0.85;station_prés_du_village250
30.75;0.07;34.46;18.68;14.02;0.27;station_ronveaux250
2.56;0.00;29.74;59.56;5.55;0.68;station_silex250
78.41;0.30;14.38;2.09;4.33;0.02;station_social250
77.30;0.16;11.71;3.84;6.34;0.00;station_st_waudru250
7.12;0.00;77.55;5.54;7.03;1.46;station_tilou250
9.04;0.01;7.63;73.53;6.54;1.87;station_trouille250
67.20;0.17;16.10;7.24;8.57;0.06;station_village_abeille250
1.58;0.00;85.89;0.07;7.92;0.00;Nom_MLM10
8.91;13.82;10.33;51.65;8.21;5.78;Nom_MLM14
13.84;5.23;15.61;36.62;11.82;15.30;Nom_MLM17
8.89;0.71;57.07;2.98;27.88;0.41;Nom_MLM2
2.69;0.21;83.94;2.30;6.85;0.00;Nom_MLM7
15.39;1.52;23.19;33.82;21.25;0.03;Station_Terril Bayemont-Saint Charles
11.53;0.03;39.43;26.99;19.12;0.06;Station_Terril Belle vue du huite
12.51;2.78;23.01;47.31;12.23;0.00;Station_Terril Ciply st1
4.16;0.64;19.27;66.04;5.90;0.00;Station_Terril Dix-Huit
14.50;0.14;22.00;43.59;16.92;0.00;Station_Terril Ferrand
16.67;0.00;15.76;48.96;16.18;0.00;Station_Terril Grand Buisson
1.59;0.01;66.67;3.15;17.85;9.61;Station_Terril Hensie
1.64;0.22;75.75;5.21;13.72;0.00;Station_Terril HÃ©ribus st1
15.13;0.05;27.58;18.38;36.11;0.00;Terril Naye-à-bois
18.74;0.00;22.62;8.84;47.04;0.00;Station_Terril Pays-Bas
14.05;13.92;22.15;32.25;15.52;0.00;Station_Terril Quesnoy st1
14.22;0.07;22.04;28.39;30.86;0.03;Station_Terril Rieux du Coeur
13.49;0.04;21.19;4.66;55.53;0.03;Station_Terril SacrÃ©-FranÃ§ais st1
5.74;11.59;26.31;42.21;10.70;0.00;Station_Terril Saint Antoine st2
2.60;20.06;42.55;25.90;6.68;0.10;Station_Terril Saint Antoine st3
17.42;1.46;28.00;17.35;31.72;0.01;Station_Terril Sept st1
2.70;5.79;13.17;24.99;51.10;0.00;Station_Terril Sept st3
0.32;2.86;60.62;8.66;16.58;6.61;Station_Terril Trazegnies st1
14.00;7.35;27.83;24.28;18.93;4.10;Terril de la cokerie stat 1
6.12;15.59;21.65;30.34;19.47;3.79;terril de la cokerie stat 2
