LCCS,artificial,sol_nu_tot,bois_total,agricol_to,espace_ouv,eau_perman,layer,path
"60",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"60",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"60",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"60",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"60",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"60",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"60",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"60",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"60",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"60",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"60",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"60",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"60",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"60",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"60",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"195",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"195",2.136,0.004,95.530,0.242,1.736,0.000,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"195",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"195",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"60",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
"195",7.103,0.059,84.285,3.966,4.583,0.002,Bois_de_Bon-Secours,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Bois_de_Bon-Secours.shp
