LCCS,artificial,sol_nu_tot,bois_total,agricol_to,espace_ouv,eau_perman,layer,path
60,1.583,0.000,85.886,0.074,7.918,0.000,Nom_MLM10,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM10.shp
195,1.583,0.000,85.886,0.074,7.918,0.000,Nom_MLM10,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM10.shp
195,8.908,13.815,10.333,51.652,8.211,5.783,Nom_MLM14,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM14.shp
60,8.908,13.815,10.333,51.652,8.211,5.783,Nom_MLM14,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM14.shp
190,8.908,13.815,10.333,51.652,8.211,5.783,Nom_MLM14,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM14.shp
10,8.908,13.815,10.333,51.652,8.211,5.783,Nom_MLM14,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM14.shp
130,8.908,13.815,10.333,51.652,8.211,5.783,Nom_MLM14,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM14.shp
40,8.908,13.815,10.333,51.652,8.211,5.783,Nom_MLM14,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM14.shp
150,8.908,13.815,10.333,51.652,8.211,5.783,Nom_MLM14,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM14.shp
100,8.908,13.815,10.333,51.652,8.211,5.783,Nom_MLM14,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM14.shp
120,8.908,13.815,10.333,51.652,8.211,5.783,Nom_MLM14,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM14.shp
70,8.908,13.815,10.333,51.652,8.211,5.783,Nom_MLM14,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM14.shp
210,8.908,13.815,10.333,51.652,8.211,5.783,Nom_MLM14,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM14.shp
130,13.838,5.229,15.610,36.622,11.818,15.303,Nom_MLM17,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM17.shp
210,13.838,5.229,15.610,36.622,11.818,15.303,Nom_MLM17,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM17.shp
60,13.838,5.229,15.610,36.622,11.818,15.303,Nom_MLM17,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM17.shp
195,13.838,5.229,15.610,36.622,11.818,15.303,Nom_MLM17,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM17.shp
150,13.838,5.229,15.610,36.622,11.818,15.303,Nom_MLM17,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM17.shp
100,13.838,5.229,15.610,36.622,11.818,15.303,Nom_MLM17,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM17.shp
190,13.838,5.229,15.610,36.622,11.818,15.303,Nom_MLM17,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM17.shp
10,13.838,5.229,15.610,36.622,11.818,15.303,Nom_MLM17,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM17.shp
60,8.886,0.711,57.069,2.981,27.883,0.408,Nom_MLM2,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM2.shp
100,8.886,0.711,57.069,2.981,27.883,0.408,Nom_MLM2,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM2.shp
90,8.886,0.711,57.069,2.981,27.883,0.408,Nom_MLM2,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM2.shp
210,8.886,0.711,57.069,2.981,27.883,0.408,Nom_MLM2,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM2.shp
120,8.886,0.711,57.069,2.981,27.883,0.408,Nom_MLM2,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM2.shp
195,8.886,0.711,57.069,2.981,27.883,0.408,Nom_MLM2,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM2.shp
190,8.886,0.711,57.069,2.981,27.883,0.408,Nom_MLM2,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM2.shp
60,2.692,0.121,83.940,2.297,6.845,0.000,Nom_MLM7,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM7.shp
100,2.692,0.121,83.940,2.297,6.845,0.000,Nom_MLM7,C:\Users\lalie\Desktop\layer site mémoire\vrai250martin\Nom_MLM7.shp
