espece;ITD;STI;SCI;Nesting;Lectisme;Sociality;Statut IUCN;Endangered
Ammobates punctatus;1.87;10.146;6.8903;Underground;Polylectic;Cleptoparasite;CR;Yes
Andrena albofasciata;2.24;10.058;5.6263;Underground;Polylectic;Solitary;NT;Almost
Andrena angustior;1.88;9.6383;4.8707;Underground;Polylectic;Solitary;NT;Almost
Andrena barbilabris;2.34;6.88;6.2917;Underground;Polylectic;Solitary;LC;No
Andrena bicolor;2.1;8.0216;5.6914;Underground;Polylectic;Solitary;LC;No
Andrena carantonica;2.72;7.4695;6.5598;Underground;Polylectic;Solitary;LC;No
Andrena chrysosceles;1.97;9.4185;5.1978;Underground;Polylectic;Solitary;LC;No
Andrena cineraria;2.76;7.9441;5.8334;Underground;Polylectic;Solitary;LC;No
Andrena dorsata;2.03;9.6573;5.2787;Underground;Polylectic;Solitary;LC;No
Andrena flavipes;2.36;9.712;5.7332;Underground;Polylectic;Solitary;LC;No
Andrena florea;2.43;10.2579;6.1367;Underground;Oligolectic;Solitary;LC;No
Andrena fulva;2.78;8.68;5.8217;Underground;Polylectic;Solitary;LC;No
Andrena fulvago;2.06;7.1724;6.6838;Underground;Oligolectic;Solitary;NT;Almost
Andrena fuscipes;2.03;6.8414;6.4625;Underground;Oligolectic;Solitary;LC;No
Andrena gravida;2.59;9.1747;6.4056;Underground;Polylectic;Solitary;LC;No
Andrena haemorrhoa;2.63;7.2921;6.1615;Underground;Polylectic;Solitary;LC;No
Andrena humilis;2.23;7.6749;6.2262;Underground;Oligolectic;Solitary;LC;No
Andrena labialis;2.7;8.1865;6.4495;Underground;Oligolectic;Solitary;NT;Almost
Andrena labiata;1.78;7.6409;6.3554;Underground;Polylectic;Solitary;LC;No
Andrena minutula;1.43;8.2258;5.7704;Underground;Polylectic;Solitary;LC;No
Andrena minutuloides;1.39;6.7884;7.2154;Underground;Oligolectic;Solitary;DD;NA
Andrena mitis;2.3;9.2406;6.5379;Underground;Oligolectic;Solitary;LC;No
Andrena nigroaenea;2.84;8.2147;5.7625;Underground;Polylectic;Solitary;LC;No
Andrena nitida;2.97;8.6123;5.9711;Underground;Polylectic;Solitary;LC;No
Andrena nitidiuscula;1.57;9.9224;6.7359;Underground;Oligolectic;Solitary;VU;Yes
