LCCS,artificial,sol_nu_tot,bois_total,agricol_to,espace_ouv,eau_perman,layer,path
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"135",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"135",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"150",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"130",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"150",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"110",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"70",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"130",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"190",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"130",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"100",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"195",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"130",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"130",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"130",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"130",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
